Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0370203007675022,0.0547173526487042,0.0496220881399081,0,0,0,0.253438557114572,0.000230915983626972,-1.37690597091021E-21,-7.73123307688292E-21,0.000379937182656872,4.2347419706735E-05,0.000180408644851587,0,0,0,0,0,0,package://car_URDF/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://car_URDF/meshes/base_link.STL,,simplified_chassis^Simplified_CarAssembly-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
br_wheel_link,1.3878E-17,-0.017047,-1.0408E-17,0,0,0,0.074684,2.4951E-05,4.0567E-21,-4.2352E-21,4.2162E-05,-2.3686E-22,2.4951E-05,0,0,0,0,0,0,package://car_URDF/meshes/br_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car_URDF/meshes/br_wheel_link.STL,,homemade_wheel-6,Origin_br_wheel_joint3,Axis_br_wheel_joint,br_wheel_joint,continuous,0.075575,0.007593,0.049368,3.1416,-1.0734,-1.5708,base_link,0,1,0,,,,,,,,,,,,
bl_wheel_link,6.9389E-18,-0.017047,-1.4745E-17,0,0,0,0.074684,2.4951E-05,-7.6597E-22,-2.1176E-22,4.2162E-05,-7.525E-21,2.4951E-05,0,0,0,0,0,0,package://car_URDF/meshes/bl_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car_URDF/meshes/bl_wheel_link.STL,,homemade_wheel-7,Origin_bl_wheel_joint,Axis_bl_wheel_joint,bl_wheel_joint,continuous,-0.003125,0.007593,0.049368,0,1.5263,-1.5708,base_link,0,1,0,,,,,,,,,,,,
fr_wheel_link,-1.3878E-17,-0.017047,0,0,0,0,0.074684,2.4951E-05,2.5057E-22,0,4.2162E-05,-1.3475E-21,2.4951E-05,0,0,0,0,0,0,package://car_URDF/meshes/fr_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car_URDF/meshes/fr_wheel_link.STL,,homemade_wheel-5,Origin_fr_wheel_joint,Axis_fr_wheel_joint,fr_wheel_joint,continuous,0.075575,-0.1002,0.027438,0,0.47997,1.5708,base_link,0,1,0,,,,,,,,,,,,
fl_wheel_link,-2.3592E-16,-0.017047,3.3307E-16,0,0,0,0.074684,2.4951E-05,7.8826E-21,0,4.2162E-05,-6.7603E-22,2.4951E-05,0,0,0,0,0,0,package://car_URDF/meshes/fl_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car_URDF/meshes/fl_wheel_link.STL,,homemade_wheel-4,Origin_fl_wheel_joint,Axis_fl_wheel_joint,fl_wheel_joint,continuous,-0.001125,-0.1002,0.027438,3.1416,-0.33161,1.5708,base_link,0,1,0,,,,,,,,,,,,
lidar_link,0.006451,-0.022037,2.0817E-17,0,0,0,0.29199,0.00017932,1.7916E-05,-1.9058E-20,0.00023563,3.3881E-21,0.00024045,0,0,0,0,0,0,package://car_URDF/meshes/lidar_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car_URDF/meshes/lidar_link.STL,,simplified_lidar-1,Origin_lidar_joint,,lidar_joint,fixed,0.024725,-0.066724,0.13878,1.7715,0,0,base_link,0,0,0,,,,,,,,,,,,
ebox_link,2.7756E-17,0.0066542,2.0817E-17,0,0,0,0.019429,5.8892E-06,-1.5277E-21,-3.497E-21,1.8865E-05,-2.1176E-21,1.4486E-05,0,0,0,0,0,0,package://car_URDF/meshes/ebox_link.STL,0,0,0,1,0,0,0,0,0,0,package://car_URDF/meshes/ebox_link.STL,,electrical_box-1,Origin_ebox_joint,,ebox_joint,fixed,0.037225,-0.049493,0.054082,1.7715,0,0,base_link,0,0,0,,,,,,,,,,,,
battery_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://car_URDF/meshes/battery_link.STL,1,1,1,1,0,0,0,0,0,0,package://car_URDF/meshes/battery_link.STL,,battery-1,Origin_battery_joint,Axis_battery_joint,battery_joint,continuous,0.037224988348698,-0.0429347129901513,0.0218478536619666,1.77150919077425,0,0,base_link,0,1,0,,,,,,,,,,,,
