Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00388152940223453,0.0491487550157473,0.0959822836251013,0,0,0,0.253438557114572,0.000230915983626972,-1.09834124977415E-21,-1.08995305646286E-20,0.000388552862570868,8.74964921922857E-21,0.000171792964937591,0,0,0,0,0,0,package://car_urdf3/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://car_urdf3/meshes/base_link.STL,,simplified_chassis^Simplified_CarAssembly-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ebox_link,2.38524477946811E-17,0.00665420516682762,1.38777878078145E-17,0,0,0,0.0194293141652943,5.88923381835339E-06,-1.73689752951498E-21,1.52034934940776E-21,1.88651943786397E-05,-1.7640556224745E-21,1.44863163441747E-05,0,0,0,0,0,0,package://car_urdf3/meshes/ebox_link.STL,0,0,0,1,0,0,0,0,0,0,package://car_urdf3/meshes/ebox_link.STL,,electrical_box-1,Origin_ebox_joint,,ebox_joint,fixed,-0.0036768,-0.095982,0.0485,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
battery_link,-8.23993651088983E-18,0.0074804833993982,-0.000123841648641848,0,0,0,0.0281697989109725,1.06924152126357E-05,1.59206567495512E-22,-1.36499816485458E-21,1.21105909928422E-05,6.80855023768559E-11,2.44479179923402E-06,0,0,0,0,0,0,package://car_urdf3/meshes/battery_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://car_urdf3/meshes/battery_link.STL,,battery-1,Origin_battery_joint,Axis_battery_joint,battery_joint,fixed,-0.0036768,-0.095982,0.0285,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
lidar_link,0.00645097632173484,-0.0220370930302956,1.38777878078145E-17,0,0,0,0.291987614489637,0.000179322343491855,1.7915823262772E-05,-2.87404142118372E-20,0.00023562662350046,8.52970502955622E-21,0.000240449680414699,0,0,0,0,0,0,package://car_urdf3/meshes/lidar_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_urdf3/meshes/lidar_link.STL,,simplified_lidar-1,Origin_lidar_joint,,lidar_joint,fixed,-0.016177,-0.095982,0.13493,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
fr_wheel_link,-2.77555756156289E-17,-0.0170468370852515,0,0,0,0,0.0746841951683647,2.49513056185901E-05,-6.2651021722227E-22,-4.2351647362715E-22,4.21618272671167E-05,4.23110158097473E-21,2.49513056185901E-05,0,0,0,0,0,0,package://car_urdf3/meshes/fr_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_urdf3/meshes/fr_wheel_link.STL,,homemade_wheel-4,Origin_fr_wheel_joint,Axis_fr_wheel_joint,fr_wheel_joint,continuous,-0.042027,-0.15098,0.0325,3.1416,0.31457,1.5708,base_link,0,1,0,,,,,,,,,,,,
fl_wheel_link,2.77555756156289E-17,-0.0170468370852515,-2.77555756156289E-17,0,0,0,0.0746841951683647,2.49513056185901E-05,1.22799028140705E-21,0,4.21618272671167E-05,3.24468513501506E-21,2.49513056185901E-05,0,0,0,0,0,0,package://car_urdf3/meshes/fl_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_urdf3/meshes/fl_wheel_link.STL,,homemade_wheel-5,Origin_fl_wheel_joint,Axis_fl_wheel_joint,fl_wheel_joint,continuous,0.034673,-0.15098,0.0325,3.1416,0.84097,-1.5708,base_link,0,1,0,,,,,,,,,,,,
bl_wheel_link,4.5102810375397E-17,-0.0170468370852515,-2.08166817117217E-17,0,0,0,0.0746841951683647,2.49513056185901E-05,3.43897869697203E-21,-1.6940658945086E-21,4.21618272671167E-05,2.99257736417889E-21,2.49513056185901E-05,0,0,0,0,0,0,package://car_urdf3/meshes/bl_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_urdf3/meshes/bl_wheel_link.STL,,homemade_wheel-6,Origin_bl_wheel_joint,Axis_bl_wheel_joint,bl_wheel_joint,continuous,0.034673,-0.040982,0.0325,0,-0.54324,1.5708,base_link,0,1,0,,,,,,,,,,,,
br_wheel_link,2.77555756156289E-17,-0.0170468370852515,-3.12250225675825E-17,0,0,0,0.0746841951683647,2.49513056185901E-05,3.77954827156255E-21,-3.3881317890172E-21,4.21618272671167E-05,-3.17744074468971E-21,2.49513056185901E-05,0,0,0,0,0,0,package://car_urdf3/meshes/br_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_urdf3/meshes/br_wheel_link.STL,,homemade_wheel-7,Origin_br_wheel_joint,Axis_br_wheel_joint,br_wheel_joint,continuous,-0.044027,-0.040982,0.0325,3.1416,1.1567,1.5708,base_link,0,1,0,,,,,,,,,,,,
