Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000204687581195852,0.00314875501574724,1.53572466782085E-17,0,0,0,0.253438557114572,0.000230915983626971,-1.25922435715914E-21,-1.96530082780382E-20,0.000388552862570868,8.63727389926082E-21,0.000171792964937591,0,0,0,0,0,0,package://car_urdf/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://car_urdf/meshes/base_link.STL,,simplified_chassis^Simplified_CarAssembly-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fr_wheel_link,6.93889390390723E-18,5.31629147485363E-05,1.04083408558608E-17,0,0,0,0.0746841951683647,2.49513056185901E-05,-5.423278565198E-20,4.13590306276502E-22,4.21618272671167E-05,-9.47970035310487E-23,2.49513056185901E-05,0,0,0,0,0,0,package://car_urdf/meshes/fr_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_urdf/meshes/fr_wheel_link.STL,,homemade_wheel-6,Origin_fr_wheel_joint,Axis_fr_wheel_joint3,fr_wheel_joint,continuous,0.055,-0.05545,-0.0135,0,0,0,base_link,0,1,0,,,,,,,,,,,,
fl_wheel_link,0,-5.31629147485432E-05,-5.20417042793042E-18,0,0,0,0.0746841951683647,2.49513056185901E-05,-5.47674516841756E-20,-2.71418638493962E-22,4.21618272671167E-05,2.30183165982362E-22,2.49513056185901E-05,0,0,0,0,0,0,package://car_urdf/meshes/fl_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_urdf/meshes/fl_wheel_link.STL,,homemade_wheel-7,Origin_fl_wheel_joint,Axis_fl_wheel_joint,fl_wheel_joint,continuous,0.055,0.05745,-0.0135,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
br_wheel_link,0,5.31629147485363E-05,1.73472347597681E-18,0,0,0,0.0746841951683647,2.49513056185901E-05,-6.50129727077473E-20,6.75315421967096E-22,4.21618272671167E-05,1.17926037236496E-21,2.49513056185901E-05,0,0,0,0,0,0,package://car_urdf/meshes/br_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_urdf/meshes/br_wheel_link.STL,,homemade_wheel-5,Origin_br_wheel_joint,Axis_br_wheel_joint,br_wheel_joint,continuous,-0.055,-0.05545,-0.0135,0,0,0,base_link,0,1,0,,,,,,,,,,,,
bl_wheel_link,-6.93889390390723E-18,-5.31629147485502E-05,-1.73472347597681E-18,0,0,0,0.0746841951683648,2.49513056185901E-05,-5.67907179160895E-20,-1.78845495721914E-21,4.21618272671167E-05,9.13026509813255E-22,2.49513056185901E-05,0,0,0,0,0,0,package://car_urdf/meshes/bl_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_urdf/meshes/bl_wheel_link.STL,,homemade_wheel-4,Origin_bl_wheel_joint,Axis_bl_wheel_joint,bl_wheel_joint,continuous,-0.055,0.05545,-0.0135,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
laser_frame,-1.11844852964053E-16,-0.00645097632173484,-0.0220370930302957,0,0,0,0.291987614489637,0.0002404496804147,1.12972461375983E-19,-7.32140473318081E-21,0.000179322343491855,-1.7915823262772E-05,0.00023562662350046,0,0,0,0,0,0,package://car_urdf/meshes/laser_frame.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_urdf/meshes/laser_frame.STL,,simplified_lidar-1,Origin_laser_frame_joint,,laser_frame_joint,fixed,0,0.0125,0.08893,0,0,0,base_link,0,0,0,,,,,,,,,,,,
ebox_link,1.32591217148186E-18,-7.42445710199543E-18,0.00665420516682762,0,0,0,0.0194293141652942,1.44863163441746E-05,2.72159329107965E-20,1.70283301056841E-20,5.88923381835338E-06,8.0720709024853E-22,1.88651943786396E-05,0,0,0,0,0,0,package://car_urdf/meshes/ebox_link.STL,0,0,0,1,0,0,0,0,0,0,package://car_urdf/meshes/ebox_link.STL,,electrical_box-1,Origin_ebox_joint,,ebox_joint,fixed,0,0,0.0025,0,0,0,base_link,0,0,0,,,,,,,,,,,,
battery_link,-0.000123841648641815,4.21830740490866E-18,0.00748048339939821,0,0,0,0.0281697989109725,2.44479179923402E-06,-2.98803775987149E-20,6.80855024106424E-11,1.06924152126357E-05,-2.10030338456889E-23,1.21105909928422E-05,0,0,0,0,0,0,package://car_urdf/meshes/battery_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://car_urdf/meshes/battery_link.STL,,battery-1,Origin_battery_joint,,battery_joint,fixed,0,0,-0.0175,0,0,0,base_link,0,0,0,,,,,,,,,,,,
